id,title,authors_v7_raw,authors_v7a,source,changed
0148,Miniaturization of High-Sensitivity Gold Single-axis MEMS Accelerometer by Adjusting Spring Constant and Hole Size of Perforated Proof-mass,"T. Yamada, C. Mukaide, T. Kurioka, K. Machida, T. M. Chang, C. Chen, Y. Miyake, M. Sone, and H. Ito","Torauto Yamada, Chihaya Mukaide, Tomoyuki Kurioka, Katsuyuki Machida, Tso-Fu Mark Chang, Chun-Yi Chen, Yoshihiro Miyake, Masato Sone, Hiroyuki Ito",v6_fallback_cleaned,yes
0284,Evaluation of Hysteresis in Au/Ta₂O₅/Pd-based Hetero-core Optical Fiber Hydrogen Sensors,"T. Yoshimoto1, A. Hosoki2, and M. Nishiyama1","Teruaki Yoshimoto, Ai Hosoki, Michiko Nishiyama",v6_fallback_cleaned,yes
0298,Near Spurious-Free SH-SAW Resonators on LNOI Platform Via Propagation Angle Twisting and Tilted Electrode,"Yu-Sian Lin1, Sung-Yuan Huang2, Ya-Ching Yu1, Zhi-Qiang Lee1, and Ming-Huang Li1, 2","Yu-Sian Lin, Sung-Yuan Huang, Ya-Ching Yu, Zhi-Qiang Lee, Ming-Huang Li",v7_pdf_cleaned,yes
0131,Food-Based Isotropic Edible Wireless Sensor for Gastrointestinal Monitoring,"R. Matsuda1, K.Tomita1, S. Miura1, M. Satoh1, T. Kan2 and H. Onoe1","Ryosuke Matsuda, Kentaro Tomita, Shion Miura, Michiyuki Satoh, Tetsuo Kan, Hiroaki Onoe",v6_fallback_cleaned,yes
0140,Development of Soft Microgripper Arrays Using Photothermally Driven Hydrogels,"S. Oishi1, S. Miura1, S. Iwano1, Y. Sato1, M. Mukai2, K. Iijima2 and S. Maruo2","Shogo Oishi, Shoma Miura, Shusuke Iwano, Yuta Sato, Masaru Mukai, Kazutoshi Iijima, Shoji Maruo",v6_fallback_cleaned,yes
0221,Cleanroom-Free Monolithic PCB EGFET with Integrated Microchamber via Room-Temperature TiO₂ Deposition for Scalable pH Sensing,"Zongqin KE1, Amine Bermak2, Yi-Kuen LEE1","Zongqin KE, Amine Bermak, Yi-Kuen LEE",v7_pdf_cleaned,yes
0337,Single-chip CMOS-MEMS Oscillators Based on 0.18 μm CMOS for Timing Applications,"Yu-Hung Lee1, Chan-Chen Yu1, Pin-Hsien Lee1, Chia-Yi Hsiao1 and Sheng-Shian Li1, 2","Yu-Hung Lee, Chan-Chen Yu, Pin-Hsien Lee, Chia-Yi Hsiao, Sheng-Shian Li",v7_pdf_cleaned,yes
0340,High-Entropy Relaxor Ferroelectrics on Flexible mica substrate for Advanced Sensors,"Yu-En Pan1, *Yu-Hao Tu1, Mengyao Xiao2, and Ying-Hao Chu1,3*","Yu-En Pan, Yu-Hao Tu, Mengyao Xiao, Ying-Hao Chu",v7_pdf_cleaned,yes
0144,Effect of Polarity on Single-cell Electroporation in a Microfluidic device with,"K. Vijitnukoonpradit1, N. Panklang2, N. Phansiri3 and B. Techaumnat 1","trapping orifice Kitipob Vijitnukoonpradit, Nitipong Panklang, Nisarut Phansiri, Boonchai Techaumnat",v6_fallback_cleaned,yes
0149,Immersion Laser Functional Thinning of Freestanding Metal Foils for MEMS Hot-Film Thermal Sensors,"M. N. Mohamed Zukri1, M. S. Al Farisi1,2, Y. Hasegawa1 and M. Shikida1","Mohammad Nizar Mohammed Zukri, Muhammad Salman Al Farisi, Yoshihiro Hasegawa, Mitsuhiro Shikida",v6_fallback_cleaned,yes
0153,Development of a Micro Gas Sensor with a Suspended Micro Heater for Nitrogen Dioxide Detection,"Chia-Hsu Hsieh1, Cheng-Chuan Chou1, Hao-Hsuan Hung2, Ya-Han Lin2, Wei-Chieh Sun2, Ping-Ju Wang2, Chuan-Chun Liu2, Yao-Ching Fang2 and I-Yu Huang1","Chia-Hsu Hsieh, Cheng-Chuan Chou, Hao-Hsuan Hung, Ya-Han Lin, Wei-Chieh Sun, Ping-Ju Wang, Chuan-Chun Liu, Yao-Ching Fang, I-Yu Huang",v7_pdf_cleaned,yes
0214,A Monolithic CMOS-Search-Coil-Magnetometer Based Inductive Tracking Platform Using Magnetic Shunt Physics for Real-Time Object Localization and Material Identification,"Hadi Tavakkoli1, Moaaz Ahmed1, Amine Bermak2, and Yi-Kuen Lee1","Hadi Tavakkoli, Moaaz Ahmed, Amine Bermak, Yi-Kuen Lee",v7_pdf_cleaned,yes
0364,Spurious-Free LNOI SH-SAW GHz Resonators for Impedance Transformers,"Zhi Qiang Lee1, Ya-Ching Yu1, Sung-Yuan Huang2, Cheng-Chien Lin1, Yi-Cheng Liao1, and Ming-Huang Li1 2","Zhi Qiang Lee, Ya-Ching Yu, Sung-Yuan Huang, Cheng-Chien Lin, Yi-Cheng Liao, Ming-Huang Li",v7_pdf_cleaned,yes
0145,Laser-Induced Biomimetic Micro-texturing for Oleophobic Surfaces,R. Goto and M. Yamaguchi,"Ren Goto, Masaki Yamaguchi",v6_fallback_cleaned,yes
0446,A Stomach-Acid-Charged Tablet-Type Digital Pill with In-Body Monitoring,Kiichi Niitsu1,Kiichi Niitsu,v7_pdf_cleaned,yes
0435,Development and In Vivo Telemetry Demonstration of Ingestible Polyaniline- Based Conductometric pH Sensor,"S. Yoshida1, I. Sugasawa1, H. Miyaguchi1, T. Ito2, Y. Miura3, M. Fujishiro3",Shinya Yoshida,v6_fallback_cleaned,yes
0440,Design of Chemical Transducers for Bioorthogonal Signaling,"K. Dodo1,*, S. Yoshimoto1, Y. Shirasaki2, T. Kamatani3, S. Yotsumoto4, S. S. Sugano5, S. Sakuma6, Y. Yamanishi6",Kosuke Dodo,v6_fallback_cleaned,yes
0450,Hierarchical Microstructure Engineering and Surface Area Optimization for 3D- Printed Triboelectric Nanogenerators,"Wei-Cheng Wang1, Chen-Fang Sun1, and Pin-Chuan Chen1","Wei-Cheng Wang, Chen-Fang Sun, Pin-Chuan Chen",v7_pdf_cleaned,yes
0124,Silicon Subwavelength Grating Waveguides with High Flexibility and Low Bending Loss toward Terahertz Photonic Integrated Circuits,K. Chiba1 and Y. Kanamori1,"Kohei Chiba, Yoshiaki Kanamori",v6_fallback_cleaned,yes
0189,Smartphone-Enabled Point-of-Care Creatinine Biosensor for Bovine Muscle Mass Monitoring in Dairy Farming,"Nikhil Mathew, Yao-Luo Lin, and R.K. Rakesh Kumar, Cheng-Hsin Chuang","Nikhil Mathew, Yao-Luo Lin, R.K. Rakesh Kumar, Cheng-Hsin Chuang",v6_fallback_cleaned,yes
0257,In-situ Interfacial Rheometry of Yield Stress Fluids via Soft MEMS Tactile Sensing: Bridging Tribology and Bulk Rheology,"Ryuga Sano, Akiyoshi Kusano, Takashi Abe, Akiomi Ushida, Masayuki Sohgawa","Ryuga Sano, Akiyoshi Kusano, Takashi Abe, Akiomi Ushida, Masayuki Sohgawa",v7_pdf_cleaned,no
0156,SOI-based MEMS Vibrational Energy Harvester using Self-Assembled Electrets,"Shuma Kawamura1, Yuichiro Sunagawa1, Hiroki Naruo2, Satoshi Maruyama3, Yuya Tanaka4, and Daisuke Yamane1,2,5","Shuma Kawamura, Yuichiro Sunagawa, Hiroki Naruo, Satoshi Maruyama, Yuya Tanaka, Daisuke Yamane",v7_pdf_cleaned,yes
0441,Engineering signaling systems of plant hormones as triggers and readouts of in-body avatar cells,"Shigeo S. Sugano¹, Jutapat Romsuk¹, Mika Ikegaya¹, Tze Mun Loo², Kosuke Dodo³, Aki Hanyu², Atsushi Hijikata⁴, Yoko Yamanishi⁵, Satoshi Yotsumoto⁴, Yoshitaka Shirasaki⁶, Shinya Sakuma⁵, Akiko Takahashi²⁶","Shigeo S. Sugano, Jutapat Romsuk, Mika Ikegaya, Tze Mun Loo, Kosuke Dodo, Aki Hanyu, Atsushi Hijikata, Yoko Yamanishi, Satoshi Yotsumoto, Yoshitaka Shirasaki, Shinya Sakuma, Akiko Takahashi",v7_pdf_cleaned,yes
0197,Optically Pumped GeSn Ridge Waveguide Lasers for Silicon Photonics,"R. Bansal1, and G. E. Chang2","Radhika Bansal, Guo-En Chang",v6_fallback_cleaned,yes
0200,"Proposal and demonstration of Multi-Chip Ion Imaging Device Enabling Measurement of Chemical Information over a Wide Area Otono Uchizono, Toshiki Kitamura, Yasuyuki Kimura, Takeshi Hizawa, Daisuke Akai, Yoshiko","O. Uchizono, T. Kitamura, Y. Kimura, T. Hizawa, D. Akai, Y. Noda, H. Doi, T. Horio, Yong-Joon Choi,","Noda, Hideo Doi, Tomoko Horio, Yong-Joon Choi, Kazuhiro Takahashi, Toshihiko Noda, Kazuaki Sawada",v6_fallback_cleaned,yes
0258,Sensitivity-Enhanced Monolithic CMOS-MEMS CMUT Receiver Front-End Using Low-Temperature ALD Alumina,"Tzu-Yun Huang1, Chih-Yuan Hsiao1, and Ming-Huang Li1 2","Tzu-Yun Huang, Chih-Yuan Hsiao, Ming-Huang Li",v7_pdf_cleaned,yes
0187,Effect of Increasing Moving Mass on the Output of an Inside-out Type Vibrational Energy Harvester,"Shuntaro Miyazato1, Hiroaki Honma1, Hiroshi Toshiyoshi2, Akio Uesugi1, Koji Sugano1 and Yoshitada Isono1","Shuntaro Miyazato, Hiroaki Honma, Hiroshi Toshiyoshi, Akio Uesugi, Koji Sugano, Yoshitada Isono",v7_pdf_cleaned,yes
0442,Avatar cells production based on electromechanical poration by electrically- induced bubbles,"Nobutoshi Ota1, Kei Tateishi1, Yoko Yamanishi1,*","Nobutoshi Ota, Kei Tateishi, Yoko Yamanishi",v7_pdf_cleaned,yes
0201,"Enhanced Suppression of Non-Specific Adsorption of Graphene Oxide-Based Resonant Sensor for Label-Free Virus Sensing Viet Khoa Pham [1], Laoyang Yiayee [1], Homare Yoshida [1], Sachiko Sakai [1], Ippei Akita [2],","I.-H. Kwon1, Y.-J. Choi1, T. Noda1, K. Sawada1, and K. Takahashi1","Yuki Imaizumi, Tatsuro Goda, Ik-Hyun Kwon, Yong-Joon Choi, Toshihiko Noda, Kazuaki Sawada, Kazuhiro Takahashi",v6_fallback_cleaned,yes
0229,Sandwiched p-Si/PtSi/p-Si Mid-Infrared Photodetector for Efficient Hot-Career Collection at Room Temperature,"Satoshi Nishita1, Ashenafi Abadi Elyas1, Daiji Noda2, Ryo Ohta2, and Tetsuo Kan1","Satoshi Nishita, Ashenafi Abadi Elyas, Daiji Noda, Ryo Ohta, Tetsuo Kan",v7_pdf_cleaned,yes
0264,Damped Structure for Q control in CMOS-MEMS Beams,"Jhih-Wei Lin, Chun-Pu Tsai, Nilabh Basu, and Wei-Chang Li","Jhih-Wei Lin, Chun-Pu Tsai, Nilabh Basu, Wei-Chang Li",v7_pdf_cleaned,yes
0263,Piezoelectric Vibration Energy Harvester Based on Bilayer Lithium Niobate,"Wei-Bin Fan1, Chih-Yuan Hsiao1, Yu-Sian Lin1, Zhi-Qiang Lee1, Huei-Chun Zeng3, Hung-Tsai Wu3, and Ming-Huang Li1, 2","Wei-Bin Fan, Chih-Yuan Hsiao, Yu-Sian Lin, Zhi-Qiang Lee, Huei-Chun Zeng, Hung-Tsai Wu, Ming-Huang Li",v7_pdf_cleaned,yes
0438,Droplet-Based Microfluidic Platform for Time-Lapse Monitoring of Cellular Responses to Nano-Artifact Exposure,"S. Sakuma1,*, Y. Yamanishi1, K. Dodo2, T. Kamatani3, Y. Shirasaki4, C.-H. D. Tsai5, S. Yotsumoto6, N. Kimura7, S. S. Sugano8",Shinya Sakuma,v6_fallback_cleaned,yes
0202,Development of a Modular Multi-Organ-on-Chip Platform for Drug Screening Applications,"Jui-Wei Chen1, Yi-Wun Ke1, Yun-Jie Hao1, Rou-Ya Zhao1, Fan-Gang Tseng1, 2,*","Jui-Wei Chen, Yi-Wun Ke, Yun-Jie Hao, Rou-Ya Zhao, Fan-Gang Tseng",v7_pdf_cleaned,yes
0236,"Control of Strain Response in Modal-Interference-Based Plastic Optical Fiber Sensors via Double-Side Reactive Ion Etching Motoki Kochi [1], Koyo Shibuta [1], Keito Ishida [1], Yuri Wada [2], Taiki Kumagai [3], Keita","S. Shirai4, C.-Y. Lo5, H. Lee3, Y. Mizuno4, and D. Yamane1,2","Kikuchi, Shimbu Shirai, Cheng-Yao Lo, Heeyoung Lee, Yosuke Mizuno, Daisuke Yamane",v6_fallback_cleaned,yes
0273,Bimodal Physical Sensor for Real-Time Quantitative Softness Evaluation in Epoxy Molding Compound Packaging,D. H. Lee and J. W. Choi*,"Donghyun Lee, Jungwook Choi",v6_fallback_cleaned,yes
0329,Performance Enhancement of a Frequency Conversion Interposer for MEMS Vibration Energy Harvesters using Bistable Buckled Beams,"K. Morishita1, Y. Takata1, Y. Tanaka1, G. Hashiguchi2, H. Toshiyoshi3, and T. Suzuki1","Kota Morishita, Yuji Takata, Yuya Tanaka, Gen Hashiguchi, Hiroshi Toshiyoshi, Takaaki Suzuki",v6_fallback_cleaned,yes
0134,On-Chip Calorimetric Thermal Flow-Rate Sensor Using FEP Thin-Film for Microfluidic System,"Yen-Hsi Chen1, Zhong-Wei Lin1, Kao-Mai Shen1, Hiroyuki Fujita1,2, Sheng-Shian Li1, Kyojiro Morikawa1,3,4, Takehiko Kitamori1,4,5, Chihchen Chen1","Yen-Hsi Chen, Zhong-Wei Lin, Kao-Mai Shen, Hiroyuki Fujita, Sheng-Shian Li, Kyojiro Morikawa, Takehiko Kitamori, Chihchen Chen",v7_pdf_cleaned,yes
0137,Development of an Innovative Nanocomposite Electrochemical Biosensor for Monitoring Immune Cytokines Associated with PD-L1 Exosome–Mediated Immunoregulation,"Wei-Zhe Jian1 , and Yi-Kuang Yen2","Wei-Zhe Jian, Yi-Kuang Yen",v7_pdf_cleaned,yes
0139,Non-Enzymatic Electrochemical Detection of Uric Acid Using a Molecularly Imprinted Polymer Electrode,"Hironaga Kawai1, Daigo Saito2, and Hiroyuki Kudo2","Hironaga Kawai, Daigo Saito, Hiroyuki Kudo",v7_pdf_cleaned,yes
0159,Copper Ion Sensing Based on the Principle of LSPR using Au@AgNPs-Go,"Fei-Li Cheng, and Chun-Yu Li","Fei-Li Cheng, Chun-Yu Li",v7_pdf_cleaned,yes
0163,Biodegradable MXene-Bamboo Cellulose Paper Electrodes Enabling Green Wearable Transducers and EMG-Driven Exoskeleton Control,"Tung-Li Hung1, Chia-Hao Kuo2, Pulikkutty Subramaniyan2, Shan-Chu Yu1, and Tzu-En Lin2*","Tung-Li Hung, Chia-Hao Kuo, Pulikkutty Subramaniyan, Shan-Chu Yu, Tzu-En Lin",v7_pdf_cleaned,yes
0171,Gold nanoparticles–modified graphene oxide for PH sensing,"Yu-Hsi Chang, Chun-Yu Li","Yu-Hsi Chang, Chun-Yu Li",v7_pdf_cleaned,no
0178,Non-Invasive Complex Dielectric Constant Sensing System for Real-Time Monitoring in Bioprocesses,"Hua-En Shih1, Ya-Fu Liou1, Yu-Wei Chiang1, Kun-Ta Wu2, Sheng-Yu Peng3,4, Chii-Wann Lin1,5","Hua-En Shih, Ya-Fu Liou, Yu-Wei Chiang, Kun-Ta Wu, Sheng-Yu Peng, Chii-Wann Lin",v7_pdf_cleaned,yes
0180,Clinical Evaluation of a Rapid Urine Uric Acid Biosensor with Readout Circuit for Early Detection of Arthritis,"Tzu-Wei Chung 1, Wei-Lun Yen 1, Bing-Hong Chen 1, Yi-Huan Chang 1, Yun-Yu Hsieh 1, Wei-Cheng Lin1,2,3and Mei-Ching Yu3","Tzu-Wei Chung, Wei-Lun Yen, Bing-Hong Chen, Yi-Huan Chang, Yun-Yu Hsieh, Wei-Cheng Lin, and Mei-Ching Yu",v7_pdf_cleaned,yes
0195,In Vitro Validation of a Balloon Catheter MEMS Flow Sensor System Using Body Temperature Regulated Respiratory Airflow,"J. Yoshida1, M. S. Al Farisi1,2, Y. Hasegawa1, M. Matsushima3, T. Kawabe3, and M. Shikida1","Jun Yoshida, Muhammad Salman Al Farisi, Yoshihiro Hasegawa, Miyoko Matsushima, Tsutomu Kawabe, Mitsuhiro Shikida",v6_fallback_cleaned,yes
0198,Scattered-Light-Based Optofluidic Waveguide Sensor for High-Resolution Biomedical Sensing,"D. Barshilia1, and G. E. Chang2","Devesh Barshilia, Guo-En Chang",v6_fallback_cleaned,yes
0204,Biofluorometric Acetone Sensor for Exhaled Breath Condensates and Its Evaluation,"Geng Zhang, Kenta Ichikawa, Kenta Iitani, Yoshikazu Nakajima, Kohji Mitsubayashi*","Geng Zhang, Kenta Ichikawa, Kenta Iitani, Yoshikazu Nakajima, Kohji Mitsubayashi",v7_pdf_cleaned,yes
0109,Development of Highly Sensitive Ethanol Sensing Using MEMS Technology,"C. H. Hsieh1, B. Y. Liu1, R. P. Yang1 and C. C. Chou1","Chia-Hsu Hsieh, Bo-Yan Liu, Ri-Pu Yang, Cheng-Chuan Chou",v6_fallback_cleaned,yes
0138,A Portable Graphene/ZnO Nanocomposite Paper-Based Chemiresistive Sensor for Lead Ion Detection,"Yi-En Yang1 , and Yi-Kuang Yen2","Yi-En Yang, Yi-Kuang Yen",v7_pdf_cleaned,yes
0141,Enhancement of CMOS-MEMS Fringe-Field Capacitive Humidity Sensor Sensitivity via Electrode Design,"Y. L. Hsu1, Y. C. Li2 , Y. Y. Huang1, and W. L. Fang1 2","Yu Lin Hsu, Yung Chen Li, Yuan Yuan Huang, Weileun Fang",v6_fallback_cleaned,yes
0151,Novel MIM Thin-Film Ultraviolet Sensor,"You-Jun Luo, I-Nan Chang","You-Jun Luo, I-Nan Chang",v7_pdf_cleaned,no
0452,Influence of Magnetic Fields on the Formation Kinetics of Copper(II) Hydroxide: Quantitative Concentration Analysis via Rate-Curve Integration,"Yi Lee, Chiung-Yi Huang and Che-Hsin Lin","Yi Lee, Chiung-Yi Huang, Che-Hsin Lin",v7_pdf_cleaned,yes
0184,Modification of Copper Nanowire for Antibiofouling Dissolved Oxygen Sensing Devices and High Sensitivity Nitrate Detection,"Brasstira Yuva Wardhana1, Chieh Li1, Jing-Ju Ho1, Jung-Hsin Jen1, Pin-Hsuan Lin2, Mia Rinawati1, KuanJung Chen2, Min-Hsin Yeh1,3*","Brasstira Yuva Wardhana, Chieh Li, Jing-Ju Ho, Jung-Hsin Jen, Pin-Hsuan Lin, Mia Rinawati, KuanJung Chen, Min-Hsin Yeh",v7_pdf_cleaned,yes
0206,Development of CuNi-LDH/BTC/MWCNT Nanocomposite Non-enzymatic Electrochemical Sensor for Rapid Detection of Diphenylamine in Agricultural Products,"Chih-Fang Lai, Yu-Chi Wang, Ren-Jei Chung*","Chih-Fang Lai, Yu-Chi Wang, Ren-Jei Chung",v7_pdf_cleaned,yes
0218,Dual-Mode Sweat Urea Sensor Based on Ti3C2Tx MXene/CuO Nanocomposites with Integrated Colorimetric–Electrochemical Detection and Data-Driven Optimization,"T. Laochai1, H. Nishihar2, J. Qin3, M. Okhawilaid4, J. Wang5, N. Rodthongkum6,7, W. Sukmas1, 7","Thidarut Laochai, Hirotomo Nishihara, Jiaqian Qin, Manunya Okhawilai, Joseph Wang, Nadnudda Rodthongkum, Wiwittawin Sukmas",v6_fallback_cleaned,yes
0371,Indium Oxide Nanobrick Base Portable Gas Sensor for Indoor Environmental Ozone Monitoring,"Jing-Cheng Hsu, Heh-Nan Lin","Jing-Cheng Hsu, Heh-Nan Lin",v7_pdf_cleaned,no
0103,Facile Fabrication of Titanium Probes and Cantilevers via Electrolytic Etching,"Y.Takano, Y.QIN, K.Ogiwara, N.Soma, M.Sohgawa, and T.Abe","Yuta Takano, Yizhi Qin, Kohei Ogiwara, Naoki Soma, Masayuki Sohgawa, Takashi Abe",v6_fallback_cleaned,yes
0110,High Performance and Long-Life Electrochemical Reference Electrode Fabricated with High-Density AgCl and AgBr Structure Transformation,Bin-Wey Lu and Che-Hsin Lin,"Bin-Wey Lu, Che-Hsin Lin",v7_pdf_cleaned,yes
0127,Wireless QCR Sensor with Electrodeless Electrical Feedthrough Utilizing a High-Dielectric Crystal Substrate,"T.Yamanaka, H.Inaba, S.Deto, M.Sohgawa, and T. Abe","Tamon Yamanaka, Haruki Inaba, Sota Deto, Masayuki Sohgawa, Takashi Abe",v6_fallback_cleaned,yes
0188,Analysis of Aging Patterns and Mechanisms According to Temperature of BaTiO3 Multi-Layer Ceramic Capacitor,"Tae-Soo Yeo1, and Wook Jo1,*","Tae-Soo Yeo, Wook Jo",v7_pdf_cleaned,yes
0194,Laser Induced Graphene Thermal Airflow Sensor for Microcatheter Actuator Respiration Measurement Inside Lung Bronchioles,"A. Hirayama1, M. S. Al Farisi1,2, Y. Hasegawa1, M. Matsushima3, T. Kawabe3, and M. Shikida1","Aoi Hirayama, Muhammad Salman Al Farisi, Yoshihiro Hasegawa, Miyoko Matsushima, Tsutomu Kawabe, Mitsuhiro Shikida",v6_fallback_cleaned,yes
0175,Surface Modification of Nanofluidic Channels and Nano-Valve for Reversed- Phase fL Chromatography,"Wei-Jen Chien , Chihchen Chen1, Yukata Kazoe2, Takehiko Kitamori1,3,4, Kyojiro Morikawa1,3,5","Wei-Jen Chien, Chihchen Chen, Yukata Kazoe, Takehiko Kitamori, Kyojiro Morikawa",v7_pdf_cleaned,yes
0240,Liquid Flow Enhancement through the Electro-Wetting in Graphene nanochannel,"K. T. Chen¹, J. K. Huang¹","Kuan Ting Chen, Jing Kai Huang",v6_fallback_cleaned,yes
0278,Engineering Bilayer 2D MOF/Metallic MoS2 Nanofluidic Ion Channels Enabling Rectified Ion Transport for Ultrahigh Osmotic Energy Harvesting,"Fery Prasetyo1 and Li-Hsien Yeh1,2","Fery Prasetyo, Li-Hsien Yeh",v7_pdf_cleaned,yes
0121,Luminance-Induced Acceleration of Degradation in Green Quantum Dot Color Conversion Layers,"Yu-Xiang Sun, Chen-En Tsai, Yu-Cheng Lin, Cheng-Han Lee, and Chun-Yu Li","Yu-Xiang Sun, Chen-En Tsai, Yu-Cheng Lin, Cheng-Han Lee, Chun-Yu Li",v7_pdf_cleaned,yes
0143,CMOS-MEMS Thermoelectric IR Sensor with SHA absorber,"Yu-Nuo Liu1, Zhi-Xuan Dai1*","Yu-Nuo Liu, Zhi-Xuan Dai",v7_pdf_cleaned,yes
0102,Biaxial Optical Cantilever by Using 2D Diffraction Grating and Sampling Moiré Method,"Soya Sato1,2, Toshihiro Shiratori1, Yuki Okamoto2, Yusuke Takei2 and Hidetoshi Takahashi1","Soya Sato, Toshihiro Shiratori, Yuki Okamoto, Yusuke Takei, Hidetoshi Takahashi",v7_pdf_cleaned,yes
